stack_length_mm,torque_nm,efficiency_pct,power_factor,saliency
143.92657727106499,102.9,94.5,0.833,6.44
220.95051396156543,158.0,94.5,0.848,5.7
156.30717949084283,111.8,93.8,0.844,6.64
131.6163018058563,94.1,92.4,0.794,7.0
236.76859933398617,169.3,93.3,0.827,7.74
